title,rating,acidity_structure,aftertaste,aroma,body,flavor,with_milk,agtron,blind_assessment,bottom_line,coffee_origin,est_price,notes,review_date,roast_level,roaster,roaster_location,url
Kenya AA,93.0,9.0,8.0,9.0,8.0,9.0,,56/74,"Sweetly sweet-savory. Red currant, violet, oregano, cocoa nib, cedar in aroma and cup. Sweet structure with vibrant, balanced acidity; satiny-smooth mouthfeel. The subtle finish consolidates to notes of red currant and cocoa nib.",A delicate yet juicy Kenya cup with a floral throughline and savory-sweet herbal notes.,"Nyeri County, south-central Kenya",NT $520/227 grams,"Produced by smallholding farmers of the Rumukia Farmers Cooperative Society from trees of the SL28 and SL34 varieties of Arabica, and processed at the Maganjo mill by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). AKA Coffee is a specialty nano-roaster based in Taiwan. Visit www.facebook.com/akacoffee.shop for more information.",October 2022,Medium-Light,AKA Coffee Roasters,"Xitun District, Taichung, Taiwan",https://www.coffeereview.com/review/kenya-aa-21/
Guatemala Los Santos,93.0,9.0,8.0,9.0,8.0,9.0,,58/77,"Crisply sweet-tart, richly nut-toned. Pomegranate, baking chocolate, hazelnut, lime zest, cedar in aroma and cup. Sweet-tart structure with gently bright, balanced acidity; crisp, satiny mouthfeel. Quiet finish centered around sweet nut and chocolate tones.","A juicy, balanced Guatemala cup with tart fruit, crisp chocolate, and deeply sweet hazelnut notes throughout.","Chimaltenango, Guatemala",$22.00/12 ounces,"Produced by smallholding farmers, from trees of the Bourbon, Caturra, Typica and Catuai varieties of Arabica, and processed by the washed method. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",September 2022,Medium-Light,Temple Coffee,"Sacramento, California",https://www.coffeereview.com/review/guatemala-los-santos-2/
Colombia Pink Bourbon Filadelfia,95.0,9.0,9.0,9.0,9.0,9.0,,64/82,"Intricate, vibrantly floral, citrusy. Lilac, tangerine, almond brittle, sage, wild honey in aroma and cup. High-toned, harmonious structure with elegantly juicy acidity; full, creamy mouthfeel. Flavor-saturated, very long finish. ","A classically complete Colombia Pink Bourbon cup crisply focused around complex floral, citrus, and delicately sweet herb notes.","Huila Department, Colombia",$26.00/10 ounces,"Produced by Fabian Rodriquez of Finca Filadelfia entirely of the Pink Bourbon variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",September 2022,Light,Bird Rock Coffee Roasters,"San Diego, California",https://www.coffeereview.com/review/colombia-pink-bourbon-filadelfia/
Papua New Guinea Timuza Organic,92.0,8.0,8.0,9.0,9.0,8.0,,64/88,"Balanced, classic, sweetly bright. Blood orange, fresh-cut cedar, almond brittle, quietly complex flowers — freesia, lavender — in aroma and cup. Crisp, sweet-tart structure with smoothly bright acidity. Plush, lightly viscous mouthfeel. Sweet almond and fresh cedar carry the rich, gently drying finish.","This Papua New Guinea is a classic coffee in the smoothly bright, high-grown style. Clean, orangy and almondy with an undercurrent of fragrant cedar. ","Eastern Highlands, Papua New Guinea",$17.00/12 ounces,"Produced by smallholding members of the Timuza Coffee Cooperative from trees of the respected Arusha variety, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Magnolia Coffee is a Charlotte-based specialty roaster whose mission is to use sustainably sourced coffees to make a difference in the lives of coffee workers and to foster a socially conscious community with cause-supporting coffees. Visit www.magnoliacoffeeco.com for more information.

 ",August 2022,Light,Magnolia Coffee,"Charlotte, North Carolina",https://www.coffeereview.com/review/papua-new-guinea-timuza-organic/
Ethiopia Durato Bombe,95.0,8.0,9.0,10.0,9.0,9.0,,68/92,"Massively floral, juicy, cocoa-toned. Distinct cocoa, honeysuckle, tangerine, caramel, cashew in aroma and cup. Deeply sweet, savory-edged in structure, with deep, vibrant acidity. Full, syrupy mouthfeel. The finish is sweet and rich, carrying most notes from the cup far into the long. ","More a floral and cocoa bomb than a fruit bomb, but a bomb nevertheless. Big, intense, intricate. ","Sidamo growing region, southern Ethiopia",$24.00/12 ounces,"Produced by smallholding farmers in Bombe Kebele village in the Bensa District of the Sidama Zone from selections of landrace varieties of Arabica native to Ethiopia. Processed by the natural method (sun-dried in the whole fruit). Founded by Paul Massard and Chris Nolte, Per’la focuses on meticulous sourcing and roasting fine coffees in small batches. Visit www.drinkperla.com for more information.",August 2022,Light,Per’la Specialty Roasters,"Miami, Florida",https://www.coffeereview.com/review/ethiopia-durato-bombe-2/
Philippines Sitio Kisbong Anaerobic Natural,92.0,8.0,7.0,9.0,9.0,9.0,,60/77,"Gently tart, sweetly herbaceous. Orange zest, pomegranate, cocoa nib, goat milk yogurt, cedar in aroma and cup. Sweet-tart structure with tangy acidity; full, syrupy-smooth mouthfeel. The gently drying finish centers around notes of orange zest and cedar.","A uniquely composed anaerobic-fermented Philippines with tangy, yogurt-like notes and attractive cocoa undertones.","Atok Benguet, northern Philippines",$17.50/6 ounces,"Produced by Kalsada Coffee from trees of the Typica, Bourbon and Garnica varieties of Arabica, and processed by the anaerobic natural method, in which whole fruit is fermented with limited oxygen before drying, also in the whole fruit. Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.",January 2023,Medium-Light,Mostra Coffee,"San Diego, California",https://www.coffeereview.com/review/philippines-sitio-kisbong-anaerobic-natural/
Colombia Sergio Roldan,93.0,8.0,8.0,9.0,9.0,9.0,,62/78,"Sweetly tart, chocolaty. Pomegranate, baking chocolate, orange zest, almond, oak in aroma and cup. Tart-leaning structure with brisk acidity; plush, chewy mouthfeel. Crisply chocolaty finish with undertones of pomegranate and almond.","A crisp, fruit-centered natural Colombia with pleasing chocolate notes throughout the cup.","Urrao, Antioquia, Colombia",$25.00/12 ounces,"Produced by Sergio Roldan, from trees of the Colombia, Caturra and Chiroso varieties of Arabica, and processed by the natural method (dried in the whole fruit). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.",January 2023,Medium-Light,Mostra Coffee,"San Diego,  California",https://www.coffeereview.com/review/colombia-sergio-roldan/
Caramel Rocher,92.0,8.0,8.0,9.0,8.0,9.0,,57/73,"Crisp, delicately fruit-forward. Pomegranate, amber, cocoa nib, marjoram, freesia in aroma and cup. Sweet-toned structure with gentle acidity; crisp, velvety mouthfeel. The finish leads with notes of amber and marjoram with floral undertones.",A quietly confident natural-processed Costa Rica cup with sweet herb and spicy floral notes supporting a stone fruit throughline.,"West Valley, Costa Rica",NT $450/227 grams,"Grown in the West Valley region of Costa Rica and processed by the natural method (dried in the whole fruit). 1980 Cafe is a Tainan City, Taiwan-based specialty coffee roaster. Visit https://www.1980cafetw.com for more information.",July 2022,Medium-Light,1980 CAFE,"Tainan City, Taiwan",https://www.coffeereview.com/review/caramel-rocher/
Karamo Ethiopia Sidama Natural G1,93.0,8.0,8.0,9.0,9.0,9.0,,62/79,"Deeply fruit-toned, richly chocolaty. Dried apricot, dark chocolate, narcissus, cedar, almond in aroma and cup in aroma and cup. Sweetly tart structure with brisk acidity; full, syrupy mouthfeel. The crisp finish consolidates to notes of dried apricot, dark chocolate and cedar.","An invitingly sweet, crisply tart, chocolaty natural-processed Ethiopia cup.","Sidama growing region, southern Ethiopia",NT $450/227 grams,"Produced by smallholding farmers entirely of the Karamo Variety 74158, and processed by the natural method (dried in the whole fruit). 1980 Cafe is a Tainan City, Taiwan-based specialty coffee roaster. Visit https://www.1980cafetw.com for more information.",July 2022,Medium-Light,1980 CAFE,"Tainan City, Taiwan",https://www.coffeereview.com/review/karamo-ethiopia-sidama-natural-g1/
Honeyed Floral,93.0,9.0,8.0,9.0,8.0,9.0,,64/80,"Juicy, richly floral-toned. Lilac, cocoa nib, pink grapefruit zest, almond butter, fresh-cut oak in aroma and cup. Sweet-tart structure with bright, juicy acidity; crisply satiny mouthfeel. The engaging finish leads with notes of lilac and pink grapefruit zest, rounding to almond butter and oak in the long.",A classic washed-process Ethiopia cup with especially vibrant acidity and spice-toned floral notes throughout.,"Guji Zone, Oromia Region, Southern Ethiopia",NT $450/227 grams,"Produced by smallholding farmers largely from trees of indigenous landrace varieties of Arabica long grown in the region, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). 1980 Cafe is a Tainan City, Taiwan-based specialty coffee roaster. Visit https://www.1980cafetw.com for more information.",July 2022,Light,1980 CAFE,"Tainan City, Taiwan",https://www.coffeereview.com/review/honeyed-floral-ethiopia-washed-guji-uraga-tome-heirloom-g1/
Colombia Antioquia Magico,94.0,9.0,8.0,9.0,9.0,9.0,,62/80,"Richly chocolaty, sweetly tart. Nectarine, dark chocolate, lemon verbena, lavender, fresh-cut oak in aroma and cup. Sweet structure with high-toned acidity; very full, satiny-smooth mouthfeel. Crisply sweet, chocolaty finish with undertones of lemon verbena and a hint of lavender.","A deeply aromatic, chocolate-toned washed Colombia cup from the rare Chiroso variety, redolent of stone fruit, spicy florals, and sweet herbs.","Urrao, Antioquia Department, Colombia",$19.00/6 ounces,"Produced by Albeiro de Jesus Ramirez Aguirre of Finca El Roble entirely of the local Chiroso variety of Arabica, and processed by the washed method (fruit skin and flesh are removed before drying). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",July 2022,Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/colombia-antioquia-magico/
Chelchele Ethiopia,94.0,9.0,8.0,9.0,9.0,9.0,,58/78,"Elegant, delicately aromatic, floral. Honeysuckle, cocoa nib, pink peppercorn, red plum, pomelo in aroma and cup. Sweetly tart with juicy, balanced acidity; plush, syrupy-smooth mouthfeel. Floral- and cocoa-toned finish.","A complex, enticingly subtle washed Ethiopia cup laden with spicy floral, sweet stone fruit, and rich cocoa notes.","Gedeb District, Gedeo Zone, southern Ethiopia",$19.00/12 ounces,Yirgacheffe coffees like this one are largely produced from traditional Ethiopian landrace varieties of Arabica long grown in the region. This is a wet-processed or “washed” version (fruit skin and flesh are removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,July 2022,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/chelchele-ethiopia/
Hawaii Ka‘ū Bourbon Anaerobic Natural,95.0,9.0,9.0,9.0,9.0,9.0,,57/74,"Richly sweet-tart, floral and fruit-driven. Mango, cocoa nib, ginger blossom, lime zest, cedar in aroma and cup. Balanced, tart-leaning structure with vibrant, juicy acidity; lightly viscous, silky mouthfeel. Long, flavor-saturated finish centered around fruit and florals.","An anaerobic natural from the Big Island of Hawai’i that evokes the tropics with its rich fruit and floral tendencies — the bright, juicy acidity is a bonus. ","Ka‘ū growing region, Big Island of Hawai’i",$30.00/4 ounces,"100% Red Bourbon grown by Leo Norberte of JN Coffee Farm and processed by Miguel Meza employing a proprietary anaerobic natural process that involves inoculation with wine yeast strains. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",July 2022,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/hawaii-kau-bourbon-anaerobic-natural/
Trident Carmo de Minas,90.0,8.0,7.0,8.0,8.0,9.0,,50/77,"Sweetly nut-toned. Cashew, caramel, cedar, orange zest, lily in aroma and cup. Sweet structure with brisk acidity; lightly satiny mouthfeel. The finish centers around notes of cashew and cedar with caramel undertones.","A friendly, straightforward Brazil cup, sweetly nut-toned with support from citrus and floral notes.","Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",$17.95/12 ounces,"Trident’s tagline is “All Ahead. All Together.” Coffees are sold online, in its TapRooms, and in +1200 locations around the country. Visit www.tridentcoffee.com for more information.",July 2022,Medium-Light,Trident Coffee,"San Diego, California",https://www.coffeereview.com/review/trident-carmo-de-minas/
Taiwan Natural Alishan Ching-Ye Farm,94.0,9.0,8.0,9.0,9.0,9.0,,58/76,"Deep-toned, intricately balanced. Dried mulberry, dark chocolate, magnolia, sandalwood, pink peppercorn in aroma and small cup. Juicy-sweet structure with high-toned acidity; very full, syrupy mouthfeel. The resonant finish consolidates to notes of dried mulberry and pink peppercorn.","A richly chocolaty, fruit-forward, spice-toned natural-processed Taiwan Alishan cup.","Alishan, Chia-Yi, Taiwan",NT $550/4 ounces,Produced at Ching-Ye farm in Taiwan entirely of the SL34 variety of Arabica and processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,July 2022,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/taiwan-natural-alishan-ching-ye-farm/
Ethiopia Honey Yirgacheffe Idido G1,95.0,9.0,9.0,9.0,9.0,9.0,,60/80,"Delicate, complex, multi-layered. Cocoa nib, orange blossom oil, hop flowers, tangerine, cedar in aroma and cup. Richly sweet-tart structure with citrusy acidity; full, syrupy-smooth mouthfeel. The floral-toned, citrusy finish is supported by cocoa nib and cedar notes.","An intricately, almost mysteriously nuanced coffee with bittersweet citrus and florals in front and ballast from crisp cocoa nib and rich aromatic wood.","Gedeo Zone, SNNP Region, southern Ethiopia",NT $350/8 ounces,"Produced by small-holding farmers largely from trees of indigenous landrace varieties of Arabica long grown in the region, and processed by the honey method (skins are removed but at least some of the sticky fruit flesh is allowed to dry on the beans). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",July 2022,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/ethiopia-honey-yirgacheffe-idido-g1/
Canet Musician Series Mozart Raisin Honey,92.0,8.0,8.0,9.0,9.0,9.0,,57/75,"Gently fruit-forward. Raspberry, honey, almond butter, magnolia, grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. The sweet-toned finish centers around notes of raspberry, magnolia and honey. 
",A pretty honey-processed Costa Rica cup with distinct berry notes and lush florals.,"Tarrazu growing region, Costa Rica",NT $630/200 grams,"Produced by smallholding members of Asocafe Canet entirely of the Caturra variety of Arabica, and processed by the honey method, in which the skins are removed from the fruit but some of the fruit flesh (mucilage) is allowed to dry on the beans. Cafe Fugu is a nano-roaster and coffee shop based in Taipei, Taiwan. Visit www.facebook.com/cafefuguroasters for more information.",July 2022,Medium-Light,Cafe Fugu Roasters,"Taipei City, Taiwan",https://www.coffeereview.com/review/canet-musician-series-mozart-raisin-honey/
Ethiopia Anasora Extended Natural Special Lot,94.0,9.0,8.0,9.0,9.0,9.0,,60/76,"Juicy, bright, fruit- and floral-toned, savory-edged. Shitake mushroom, dark chocolate, grape candy, wisteria, amber in aroma and cup. Sweet-tart structure with cola-like acidity; plush, syrupy mouthfeel. Long, lingering, flavor-saturated finish.",A uniquely composed anaerobically processed coffee with sweet-tart-savory impulses in balanced harmony. ,"Guji Zone, Oromia Region, Southern Ethiopia",NT $880/200 grams,"Produced by smallholding farmers largely from local landrace varieties of Arabica, and processed at the Anasora Washing Station owned by Isreal Degefa utilizing a proprietary anaerobic natural method (whole fruit is fermented with limited oxygen before drying). Quartet Kaffe is an artisan roastery in Taiwan founded in 2018, dedicated to pursuing coffee performance art and offering unique specialty coffee. Visit www.facebook.com/QuartetKaffe for more information.",July 2022,Medium-Light,Quartet Kaffe,"Taipei, Taiwan",https://www.coffeereview.com/review/ethiopia-anasora-extended-natural-special-lot/
Panama Hacienda La Esmeralda Super Mario Geisha Yeast Washed,95.0,9.0,9.0,9.0,9.0,9.0,,60/77," Richly aromatic, complex. Star jasmine, cocoa nib, bergamot, apricot, sandalwood in aroma and cup. Delicately bright structure with vibrantly juicy acidity; silky, viscous mouthfeel. Resonant, long flavor-laden finish with notes of star jasmine and cocoa nib supported by apricot undertones.","A lush, rich-toned, yet delicately perfumed washed Geisha cup with exhilarating acidity.","Boquete growing region, Panama",NT $1250/60 grams,"Coffee from trees of the botanical variety Geisha (also Gesha) grown on Hacienda La Esmeralda in Panama first introduced this extraordinary variety of Arabica to the world. With its bold, boat-shaped beans and distinctive floral and crisply cocoa-toned cup, the Geisha/Gesha continues to be one of the world’s most celebrated and sought-after coffee varieties, and the Esmeralda versions remain among the most authentic. This is a wash-processed version. Quartet Kaffe is an artisan roastery in Taiwan founded in 2018, dedicated to pursuing coffee performance art and offering unique specialty coffee. Visit www.facebook.com/QuartetKaffe for more information.",July 2022,Medium-Light,Quartet Kaffe,"Taipei, Taiwan",https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-super-mario-geisha-yeast-washed/
Dark Texas Twist,91.0,8.0,7.0,8.0,9.0,9.0,,44/60,"Sweetly roast-toned, richly chocolaty. Baking chocolate, scorched mesquite, lily, almond brittle, date in aroma and cup. Bittersweet structure with creamy mouthfeel; the crisp, gently drying finish centers on notes of baking chocolate, lily and mesquite.","A darker-roasted blend with pleasing smoke-toned chocolate and sweet floral notes throughout — sweet, crisp, bold.",Ethiopia; Sumatra,$18.99/16 ounces,"Located in Kountze, Texas, 90 miles northeast of Houston, Brand 425 is a small-batch coffee roaster committed to “Texas-style” craft coffee. This blend is comprised of coffees from Sumatra and Ethiopia. Visit www.brand425.com for more information.",July 2022,Medium,Brand 425,"Kountze, Texas",https://www.coffeereview.com/review/dark-texas-twist/
